"Mspan","Metodo","problema"
3105,"SPT",39
2805,"SPT",40
3396,"SPT",41
3651,"SPT",42
3467,"SPT",43
3198,"SPT",44
3435,"SPT",45
3498,"SPT",46
3493,"SPT",47
3403,"SPT",48
3216,"SPT",49
3424,"SPT",50
4135,"SPT",51
4345,"SPT",52
4168,"SPT",53
4022,"SPT",54
4140,"SPT",55
4148,"SPT",56
4382,"SPT",57
4380,"SPT",58
4070,"SPT",59
4163,"SPT",60
4694,"SPT",61
4946,"SPT",62
4693,"SPT",63
4264,"SPT",64
4467,"SPT",65
4795,"SPT",66
4474,"SPT",67
4701,"SPT",68
4897,"SPT",69
4783,"SPT",70
7627,"SPT",71
7195,"SPT",72
7834,"SPT",73
7679,"SPT",74
7611,"SPT",75
7632,"SPT",76
7869,"SPT",77
7347,"SPT",78
7425,"SPT",79
7166,"SPT",80
